"Atom ID","Phase","Work item","Owner route","Status","Quality (Q)"
"LLA-A001","Phase 00 — Yönetim, AI rolleri ve devamlılık","Owner, BRAIN, NOTION, WORKER ve SECOND-BRAIN yetkilerini dondur","BRAIN","ACCEPTED","96"
"LLA-A002","Phase 00 — Yönetim, AI rolleri ve devamlılık","Ekli belge/raporların talimat değil kanıt olduğu hiyerarşiyi dondur","BRAIN","ACCEPTED","96"
"LLA-A003","Phase 00 — Yönetim, AI rolleri ve devamlılık","Kod, karar, durum ve secret source-of-truth kurallarını tanımla","BRAIN","ACCEPTED","94"
"LLA-A004","Phase 00 — Yönetim, AI rolleri ve devamlılık","Atom durum makinesini tanımla","BRAIN","ACCEPTED","96"
"LLA-A005","Phase 00 — Yönetim, AI rolleri ve devamlılık","Q/100 kalite rubriğini tanımla","BRAIN","ACCEPTED","95"
"LLA-A006","Phase 00 — Yönetim, AI rolleri ve devamlılık","Her mesaj için atom ilerleme başlığını dondur","BRAIN","ACCEPTED","98"
"LLA-A007","Phase 00 — Yönetim, AI rolleri ve devamlılık","Notion read-only research/review çalışma modunu dondur","BRAIN","ACCEPTED","94"
"LLA-A008","Phase 00 — Yönetim, AI rolleri ve devamlılık","Antigravity tek-atom brief/return/stop sözleşmesini dondur","BRAIN","ACCEPTED","96"
"LLA-A009","Phase 00 — Yönetim, AI rolleri ve devamlılık","SECOND-BRAIN standby, activation ve görev ayrımını dondur","BRAIN","ACCEPTED","96"
"LLA-A010","Phase 00 — Yönetim, AI rolleri ve devamlılık","Acil sync, komple handoff ve geri handoff protokolünü dondur","BRAIN","ACCEPTED","96"
"LLA-A011","Phase 00 — Yönetim, AI rolleri ve devamlılık","Bütün ürün için atomik master roadmap ve sahiplik kaydı oluştur","BRAIN","ACCEPTED","96"
"LLA-A012","Phase 01 — Dondurulmuş ürün yönü","German-first ve `de-DE` ilk varyant kararını dondur","BRAIN + OWNER","ACCEPTED","98"
"LLA-A013","Phase 01 — Dondurulmuş ürün yönü","18+ complete-beginner persona ve tek JTBD'yi dondur","BRAIN","ACCEPTED","94"
"LLA-A014","Phase 01 — Dondurulmuş ürün yönü","Atlas, Practice, Studio, You ve sonra People yüzey sınırlarını dondur","BRAIN","ACCEPTED","92"
"LLA-A015","Phase 01 — Dondurulmuş ürün yönü","MVP-0 software slice ile MVP-1 learning alpha ayrımını dondur","BRAIN","ACCEPTED","94"
"LLA-A016","Phase 01 — Dondurulmuş ürün yönü","MVP dışı özellik/no-empty-tab listesini dondur","BRAIN","ACCEPTED","94"
"LLA-A017","Phase 01 — Dondurulmuş ürün yönü","North-star ve ilk funnel/learning metric sözlüğünü dondur","BRAIN","ACCEPTED","90"
"LLA-A018","Phase 01 — Dondurulmuş ürün yönü","Guest, privacy, raw voice ve retention ilkelerini dondur","BRAIN + OWNER","ACCEPTED","90"
"LLA-A019","Phase 01 — Dondurulmuş ürün yönü","Free-tier tükenme ve deterministic fallback ilkesini dondur","BRAIN","ACCEPTED","94"
"LLA-A020","Phase 01 — Dondurulmuş ürün yönü","Calm-adult/editorial Living Atlas tasarım yönünü dondur","BRAIN","ACCEPTED","89"
"LLA-A021","Phase 01 — Dondurulmuş ürün yönü","Proprietary content ve dış asset provenance politikasını dondur","BRAIN + OWNER","ACCEPTED","98"
"LLA-A022","Phase 01 — Dondurulmuş ürün yönü","Evidence, habit ve economy ledger ayrımını dondur","BRAIN","ACCEPTED","96"
"LLA-A023","Phase 01 — Dondurulmuş ürün yönü","Core learning'i paywall/coin'den koruyan monetization ilkesini dondur","BRAIN + OWNER","ACCEPTED","92"
"LLA-A024","Phase 01 — Dondurulmuş ürün yönü","DRAFT→review→APPROVED→PUBLISHED yaşam döngüsünü dondur","BRAIN","ACCEPTED","92"
"LLA-A025","Phase 01 — Dondurulmuş ürün yönü","Ürün kapsamı ve non-goal kabul kaydını kapat","BRAIN","ACCEPTED","94"
"LLA-A026","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","Atlas/curriculum/runtime/evidence aggregate sınırlarını dondur","BRAIN","ACCEPTED","95"
"LLA-A027","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","Stable skill ID ve prerequisite graph sözleşmesini dondur","BRAIN","ACCEPTED","95"
"LLA-A028","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","H0–H4 support/scaffold profilini dondur","BRAIN","ACCEPTED","96"
"LLA-A029","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","AttemptEvaluation ile EvidenceDecision/Event ayrımını dondur","BRAIN","ACCEPTED","98"
"LLA-A030","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","E0–E2 exposure/recognition/supported kurallarını dondur","BRAIN","ACCEPTED","95"
"LLA-A031","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","E3 bağımsız changed-context üretim kuralını dondur","BRAIN","ACCEPTED","97"
"LLA-A032","Phase 02 — Öğrenme sözleşmesi ve German N1/N2 aday içeriği","E4 72.000s minimum ve authoritative anchor kuralını dondur","BRAIN","ACCEPTED","98"
